id,toxic,severe_toxic,obscene,threat,insult,identity_hate,non-toxic,comment_text
43f56e726343053e,1,0,1,0,0,0,0,read powers horror tell isnt anti semite stop fucking editing god damn edits true cited give right protect
0c13eab75027d59b,1,0,1,0,1,0,0,listen dumbass nt anything pelycosaur page fuck cunt gluzing asswipe
869d1a19852810cc,1,0,1,0,1,0,0,hello made constructive edits know think guess makes wrong okay mistakes happen back make sure happen less okay public transit systems going leeches like keep sucking loathsome prick hell
3a0afe696d320917,1,1,1,0,1,1,0,get life animal fucker shut fucking nigger fuck shit pants full shit fill
439d4b5b2669cf86,1,0,0,0,1,0,0,lol like stop forever eternal fagboy little creative less obtuse
4b0053394b771019,1,0,1,0,0,0,0,stop messing userpage see troublemaker please stop ass thank
57e27692fd769682,1,0,1,0,1,0,0,lick balls sucking arse
fa8474ed7763dfaf,1,0,1,0,1,0,0,ah go fuck
572c1eddb3cb8cf7,1,0,1,0,1,0,0,fucck u hole wateva u want diick head contact blogsd
05b0dff536b69965,1,1,1,0,1,1,0,racist man fuck u nigga black u even know difference er bitch motherfucka yre u feelin offended bet u aint even black yeah yall oreo cookies anywayz im pure chocolate fool
176963641b7732a5,0,0,0,0,0,0,1,nobody likes homework answer question go shcool get homework expected hours homework night get older like many may clever big impact social life sure id like intelligent find easy make friends knows could one day one many lonely individuals
8cc335f6fd9c7658,0,0,0,0,1,0,0,defamatory comments made none nothing said slanderous libelous guess vialation civility however removal post reasons slanderous outright censorship hope enjoy hollow shallow life
124ca2ef82c91ec2,0,0,0,0,0,0,1,go vandercken go wikipedia needs besides waisting time talking instead writing article user page full userboxes
a8cae2b51b4492c7,1,0,0,0,0,0,0,goat shagging many farmers anal sex goats think article incorporate
1316988fe802e623,0,0,0,0,0,0,1,please vandalize pages edit barbed wire continue blocked editing discussion
b3ba2527022b866e,1,0,1,0,1,0,0,must joking see rumours militant embittered pedophile faggot conspiracy wikipedia true since ass doubly demilich band brutality band deleted cretinous bunch idea talking
0789e0e379878463,0,0,0,0,0,0,1,dear azure citizen wrote talk comment pernicious phenomenon infected wikipedia general article particular name anyone particular group personal attack attack organized effort include propaganda wikiepedia censored makes part problem part solution solution ultimately end anonymity wikipedia pr industry inflitrated cover anonymity strip away anonymity run cover
1c5c645b97d50ede,0,0,0,0,0,0,1,agree proposal well formulated issues mysterons
1260de6f9d9de88f,0,0,0,0,0,0,1,start best guess variables software version cue bridge tab maintainer adobe development status sure version cue still around called bridge tab repository model tab concurrency model license commercial platforms supported tab cost
1be30ff1ff5d5796,0,0,0,0,0,0,1,quite right definition pascal pa n kg table section si brochure international bureau weights measures user talk
e831cbd3df4d6f44,1,0,0,0,0,0,0,smelly truly vengeance
068069fe40537b32,1,0,1,0,1,0,0,ibaranoff cocksucking little bitch delete fucking loser like wrong ya give fuck get banned eat dick nice life hope find something except little bitch wikipedia
